dither,capture,capture_sd,switches,switches_sd,redundant,redundant_sd,attribution,attribution_sd,ticks,ticks_sd
0.0,0.725,0.0637,271.125,29.7298,12.0,8.0156,13.9992,1.3348,27.5063,2.645
2.0,0.7312,0.0778,244.625,27.8251,11.5,8.2006,13.8685,1.0365,27.5156,2.6312
4.0,0.7219,0.0785,240.75,23.1395,10.875,5.3721,13.9076,1.096,27.9781,2.3294
8.0,0.7094,0.0728,223.125,20.2758,9.375,5.5213,13.6483,1.1044,28.6156,2.1266
16.0,0.7031,0.0905,201.375,27.331,8.75,5.517,13.3677,1.096,29.0312,2.8666
32.0,0.6562,0.067,188.625,23.6217,7.75,6.3982,13.0015,1.0172,30.2937,3.2841
